Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
12.08.2022 16:35:50,System.Runtime,CPU Usage (%),Metric,0
12.08.2022 16:35:50,System.Runtime,Working Set (MB),Metric,23
12.08.2022 16:35:50,System.Runtime,GC Heap Size (MB),Metric,1
12.08.2022 16:35:50,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:50,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:50,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:50,System.Runtime,ThreadPool Thread Count,Metric,0
12.08.2022 16:35:50,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:35:50,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:50,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
12.08.2022 16:35:50,System.Runtime,Allocation Rate (B / 1 sec),Rate,73496
12.08.2022 16:35:50,System.Runtime,Number of Active Timers,Metric,0
12.08.2022 16:35:50,System.Runtime,GC Fragmentation (%),Metric,0
12.08.2022 16:35:50,System.Runtime,GC Committed Bytes (MB),Metric,0
12.08.2022 16:35:50,System.Runtime,Exception Count (Count / 1 sec),Rate,0
12.08.2022 16:35:50,System.Runtime,% Time in GC since last GC (%),Metric,0
12.08.2022 16:35:50,System.Runtime,Gen 0 Size (B),Metric,0
12.08.2022 16:35:50,System.Runtime,Gen 1 Size (B),Metric,0
12.08.2022 16:35:50,System.Runtime,Gen 2 Size (B),Metric,0
12.08.2022 16:35:50,System.Runtime,LOH Size (B),Metric,0
12.08.2022 16:35:50,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
12.08.2022 16:35:50,System.Runtime,Number of Assemblies Loaded,Metric,15
12.08.2022 16:35:50,System.Runtime,IL Bytes Jitted (B),Metric,7493
12.08.2022 16:35:50,System.Runtime,Number of Methods Jitted,Metric,43
12.08.2022 16:35:50,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,2.832700000000001
12.08.2022 16:35:51,System.Runtime,CPU Usage (%),Metric,0
12.08.2022 16:35:52,System.Runtime,CPU Usage (%),Metric,0
12.08.2022 16:35:51,System.Runtime,Working Set (MB),Metric,25
12.08.2022 16:35:51,System.Runtime,GC Heap Size (MB),Metric,1
12.08.2022 16:35:51,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:51,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:51,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
12.08.2022 16:35:51,System.Runtime,ThreadPool Thread Count,Metric,0
12.08.2022 16:35:51,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
12.08.2022 16:35:51,System.Runtime,ThreadPool Queue Length,Metric,0
12.08.2022 16:35:51,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,0
12.08.2022 16:35:51,System.Runtime,Allocation Rate (B / 1 sec),Rate,32184
12.08.2022 16:35:51,System.Runtime,Number of Active Timers,Metric,0
12.08.2022 16:35:51,System.Runtime,GC Fragmentation (%),Metric,0
12.08.2022 16:35:51,System.Runtime,GC Committed Bytes (MB),Metric,0
12.08.2022 16:35:51,System.Runtime,Exception Count (Count / 1 sec),Rate,0
